Iteration,Fitness
1,2.8138423976983358
2,1.989957155811655
3,1.7779836540247425
4,0.47719885308559784
5,0.47719885308559784
6,0.27689233659933615
7,0.05997161565978389
8,0.05997161565978389
9,0.0082925494814997
10,0.0082925494814997
11,0.0082925494814997
12,0.005831776657581566
13,0.0052008167868133545
14,0.004727409101514569
15,0.004727409101514569
16,0.004727409101514569
17,0.004727409101514569
18,0.004404975167039608
19,0.004079308248926879
20,0.004079308248926879
21,0.00239204140198597
22,0.0010906399135794116
23,0.0008094406264674908
24,1.7431687835279053e-05
25,1.7431687835279053e-05
26,1.7431687835279053e-05
27,1.7431687835279053e-05
28,1.7431687835279053e-05
29,1.7431687835279053e-05
30,1.7431687835279053e-05
31,1.3338217182845421e-05
32,6.509326895423336e-07
33,6.509326895423336e-07
34,6.509326895423336e-07
35,6.509326895423336e-07
36,2.487131240700129e-07
37,2.487131240700129e-07
38,1.4265506908724004e-07
39,1.4265506908724004e-07
40,9.513263692128035e-08
41,9.513263692128035e-08
42,4.2271440670173497e-08
43,4.2271440670173497e-08
44,4.2271440670173497e-08
45,4.2271440670173497e-08
46,4.2271440670173497e-08
47,4.2271440670173497e-08
48,4.2271440670173497e-08
49,4.2271440670173497e-08
50,4.2271440670173497e-08
